Date,AAPL,CAT,JNJ,JPM,KO,MSFT,NVDA,SPY,V,WMT,XOM
2018-01-03,-0.00017393327555770277,0.0015283149274196717,0.009552570833235574,0.0010189355535976663,-0.002195963791974842,0.004653838864489002,0.06581400559453487,0.006325476121188389,0.009955429298143859,0.008723133429847874,0.019640101708676472
2018-01-04,0.004644523142835144,0.013733495937416906,-7.102195237096431e-05,0.014325620709904952,0.014084683843694323,0.00880158473684367,0.005271339614091319,0.004214489856062542,0.0037182704356959473,0.0009046481543051321,0.001384210662357166
2018-01-05,0.011385412027629327,0.015805177205305387,0.00825319978336414,-0.006419432254688218,-0.00021732435719512555,0.012397921484134988,0.008474505015729106,0.006664022934303571,0.02394905397016389,0.005927210125997506,-0.0008062758659037605
2018-01-08,-0.003713932716896573,0.025129891001182125,0.0012699264895110751,0.0014765843280255542,-0.0015192325953609087,0.0010204843261505392,0.03064062657028299,0.0018286145825752165,0.004038267859346023,0.01478108667771405,0.0044957056564600695
2018-01-09,-0.00011493988213606698,0.00240897512282201,0.015857210669107058,0.0050693400559544965,0.005000145027065139,-0.0006796607944263844,-0.0002704367645081085,0.002263607262553702,-0.0019273154281992388,-0.012006887736791483,-0.004246175841220778
2018-01-10,-0.00022943813960207837,-0.003364504216836539,-0.001179192886566871,0.011004081107654606,-0.0034612938808130655,-0.004534090683702696,0.007839915204841397,-0.0015298685224723885,-0.0010914262195469426,-0.0071720886320382204,-0.007952212073379927
2018-01-11,0.005680248258290277,0.020075930445595302,0.005695642742189033,0.00535142889147644,-0.0006508228360113666,0.0029605919817712323,0.001788363747747379,0.007295716081923365,0.007227930857529374,0.003511687665103569,0.009874605328583863
2018-01-12,0.010326014751369739,0.006501160956335017,0.006698991187697789,0.01651011467321517,0.0023890895657570077,0.017257043523273286,-0.004909113111602137,0.00651917212317743,0.0020861064016297615,0.00849840955108827,0.006787375728678935
2018-01-16,-0.005081948586508123,-0.005813133868821985,0.007547143092716091,-0.003550063695870742,0.008233870245743624,-0.013950920879810091,-0.012870742473952479,-0.003418274453704795,0.002498345607150121,-0.0017847970863783535,-0.006284155233074129
2018-01-17,0.01651622571746003,-0.004784226523946278,0.0008170165903624849,0.00641335868341808,0.006232501835628401,0.020260120535013693,0.020943915897973175,0.009531680050072433,0.013207136618604842,0.019962724143749222,0.011843098368468308
2018-01-18,0.0008934010781311841,0.001958591667439835,-0.000407912317751169,0.0023891748400963753,0.0012817482711653394,-0.0004435111217022669,-0.001246017898660412,-0.0016805938098127804,0.00926377652010446,0.015579348127660486,-0.006477551366108614
2018-01-19,-0.004462745018784409,0.014043016267995645,0.002994612848061129,-0.002207020185225561,0.005972459543672759,-0.001109639688461228,0.025262910825589957,0.004549525891283102,-0.0033305564992552883,0.002780431198146971,-0.0032026022769414686
2018-01-22,-0.00818091430294765,0.0028167230018387723,0.005292785009105794,0.011680266316718813,0.004665229771269486,0.01788857225359508,0.01555731898244006,0.008130996446396255,0.013284448207659283,0.008222339142179846,0.012622057013287336
2018-01-23,0.00022551608470888773,-0.008543481194340674,-0.042594387554625635,-0.0010496058384398266,0.0014775412474159477,0.003165541618768364,0.022337586443286428,0.002122429505459378,0.0025738215166344336,0.004267174299172449,0.0005664349128573498
2018-01-24,-0.01592839091284759,-0.006433338851194237,0.0016920519800869283,0.012783747965483983,0.00800828309710866,-0.0008703972193709886,-0.01301756820458233,-0.00038800164428276496,-0.0008022300032202168,-0.0010383384316174915,0.0026049336348317187
2018-01-25,-0.017850617799362034,0.006118750509499504,0.016400407562721986,0.0002590923567340475,0.0002092692159278986,0.005554160597692537,0.0023329263726570293,0.00042350577342720186,0.005379496979128318,0.007656362744124401,-0.0018077781877762211
2018-01-26,0.002337175472036712,-0.013638813703353625,0.0064399486957587015,0.005358708974454673,0.014422765385819325,0.018737298702569127,0.02953241480273716,0.011577856858711266,0.008784488920981381,0.01679201381419726,0.00712952363253061
2018-01-29,-0.0206979915530362,-0.02681669259011954,-0.011353048399883159,-0.001031649184914607,-0.01710266175862163,-0.001488393419178613,0.014465682622388343,-0.006630382511990884,-0.011716216627696618,0.010702118514783754,-0.011123492957683001
2018-01-30,-0.005894709432701206,0.007257972250128031,-0.008700136468911879,-0.009380428966139442,-0.006079835522402766,-0.012563831410554394,-0.016730726671463136,-0.010256815093303784,-0.010333332965769104,-0.016613635569857732,-0.013975894029348845
2018-01-31,0.0027548939023280816,-0.0059844634677213016,-0.029768876628379237,0.00486521993244482,0.003797077817287997,0.024476961997839775,0.01268943433697478,0.0004971355333096561,0.005503916106832651,-0.010489253011265354,0.005992010224774358
2018-02-01,0.002090782108067124,-0.0033171634473364575,0.01324295537730924,0.010374213684102074,-0.0029419376140797926,-0.00789383423939094,-0.02156238664880994,-0.0011355866262448,0.01199376122610385,-0.01013138726547802,0.020275063372543922
2018-02-02,-0.04339035494523624,-0.02927805084025137,-0.016712366040445792,-0.022161453504224604,-0.015174040163195235,-0.02631028563861848,-0.029022664745606108,-0.02176962061445964,-0.038259369534387355,-0.009855712366011238,-0.05097109193047
2018-02-05,-0.024984186805252495,-0.040700590422194094,-0.05294870621888381,-0.04795238162707338,-0.039375424304141204,-0.04118548392807442,-0.08487479757544525,-0.04182281577550695,-0.03837575946073135,-0.04201752250775781,-0.05690277910774477
2018-02-06,0.04179127450696152,0.0352794276071664,0.01104393347424093,0.030422693471611417,-0.004900699863209512,0.03784105608866106,0.05559167588751723,0.019702625585510836,0.03182245803802597,0.00809251375449449,-0.017185262199073348
2018-02-07,-0.021406738542639747,-0.01323443251788059,-0.0031101451135222558,0.006779393917329735,-0.0024623619820903775,-0.018832702006378987,0.014274322749314061,-0.0054251370928216636,-0.0026672250046877455,0.019325966068580502,-0.017995980559946778
2018-02-08,-0.027516707471066604,-0.05410149761894412,-0.03850237300465564,-0.044210477350649646,-0.03276504815161407,-0.05133359505045931,-0.04930035839583424,-0.037509026660864864,-0.048391290618049254,-0.027515579234154708,-0.011307538470076817
